,TotIn,TotOut,InHome,InAway,OutHome,OutAway,WMeanInHome,WMeanInAway,WMeanOutHome,WMeanOutAway
Wolves,47.0,46.0,28.0,19.0,21.0,25.0,0.9396,0.79832,0.88235,0.83893
Chelsea,63.0,39.0,39.0,24.0,12.0,27.0,1.30872,1.0084,0.5042,0.90604
Bournemouth,56.0,70.0,30.0,26.0,25.0,45.0,1.00671,1.09244,1.05042,1.51007
Everton,54.0,46.0,30.0,24.0,21.0,25.0,1.00671,1.0084,0.88235,0.83893
Crystal Palace,51.0,53.0,19.0,32.0,23.0,30.0,0.63758,1.34454,0.96639,1.00671
Newcastle,42.0,48.0,24.0,18.0,25.0,23.0,0.80537,0.7563,1.05042,0.77181
Burnley,45.0,68.0,24.0,21.0,32.0,36.0,0.80537,0.88235,1.34454,1.20805
West Ham,52.0,55.0,32.0,20.0,27.0,28.0,1.07383,0.84034,1.13445,0.9396
Cardiff,34.0,69.0,21.0,13.0,38.0,31.0,0.7047,0.54622,1.59664,1.04027
Southampton,45.0,65.0,27.0,18.0,30.0,35.0,0.90604,0.7563,1.2605,1.1745
Fulham,34.0,81.0,22.0,12.0,36.0,45.0,0.73826,0.5042,1.51261,1.51007
Man United,65.0,54.0,33.0,32.0,25.0,29.0,1.10738,1.34454,1.05042,0.97315
Brighton,35.0,60.0,19.0,16.0,28.0,32.0,0.63758,0.67227,1.17647,1.07383
Man City,95.0,23.0,57.0,38.0,12.0,11.0,1.91275,1.59664,0.5042,0.36913
Watford,52.0,59.0,26.0,26.0,28.0,31.0,0.87248,1.09244,1.17647,1.04027
Tottenham,67.0,39.0,34.0,33.0,16.0,23.0,1.14094,1.38655,0.67227,0.77181
Leicester,51.0,48.0,24.0,27.0,20.0,28.0,0.80537,1.13445,0.84034,0.9396
Arsenal,73.0,51.0,42.0,31.0,16.0,35.0,1.4094,1.30252,0.67227,1.1745
Huddersfield,22.0,76.0,10.0,12.0,31.0,45.0,0.33557,0.5042,1.30252,1.51007
Liverpool,89.0,22.0,55.0,34.0,10.0,12.0,1.84564,1.42857,0.42017,0.40268
